,img_path,caption,foil,linguistic_phenomena,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group
844,../VALSE_data/images/v7w/v7w_2389519.jpg,There are bikes on the rack.,There are no bikes on the rack.,existence,23.316957473754883,25.163562774658203,-1.8466053009033203,low_perf
694,../VALSE_data/images/v7w/v7w_2316446.jpg,There are no people in the photo.,There are people in the photo.,existence,22.16910743713379,22.317052841186523,-0.14794540405273438,low_perf
761,../VALSE_data/images/v7w/v7w_2345066.jpg,There are no birds in the sky.,There are birds in the sky.,existence,21.893781661987305,22.33599853515625,-0.4422168731689453,low_perf
582,../VALSE_data/images/v7w/v7w_2370812.jpg,There are no people.,There are people.,existence,15.981781005859375,16.09807586669922,-0.11629486083984375,low_perf
769,../VALSE_data/images/v7w/v7w_2349587.jpg,There are no people.,There are people.,existence,16.677541732788086,17.384784698486328,-0.7072429656982422,low_perf
862,../VALSE_data/images/v7w/v7w_2401335.jpg,There are wall sconces visible in this picture.,There are no wall sconces visible in this picture.,existence,23.671550750732422,23.6214599609375,0.050090789794921875,low_perf
967,../VALSE_data/images/v7w/v7w_2361201.jpg,There is a horse.,There is no horse.,existence,24.963125228881836,25.00613784790039,-0.04301261901855469,low_perf
983,../VALSE_data/images/v7w/v7w_2363335.jpg,There is a mast on the closest boat.,There is no mast on the closest boat.,existence,24.54865074157715,24.91971778869629,-0.3710670471191406,low_perf
675,../VALSE_data/images/v7w/v7w_2411632.jpg,There are no people in the photo.,There are people in the photo.,existence,19.605886459350586,19.61745262145996,-0.011566162109375,low_perf
904,../VALSE_data/images/v7w/v7w_2323857.jpg,There are kinds of fruit.,There are no kinds of fruit.,existence,24.527332305908203,24.772640228271484,-0.24530792236328125,low_perf
875,../VALSE_data/images/v7w/v7w_2408510.jpg,There are dials on the microwave.,There are no dials on the microwave.,existence,28.710060119628906,28.73534393310547,-0.0252838134765625,low_perf
953,../VALSE_data/images/v7w/v7w_2359039.jpg,There are zebras facing right.,There are no zebras facing right.,existence,29.596403121948242,30.271812438964844,-0.6754093170166016,low_perf
735,../VALSE_data/images/v7w/v7w_2335370.jpg,There are no people in the picture.,There are people in the picture.,existence,21.057601928710938,21.325973510742188,-0.26837158203125,low_perf
606,../VALSE_data/images/v7w/v7w_2380468.jpg,There are no people in the photo.,There are people in the photo.,existence,20.193368911743164,20.708419799804688,-0.5150508880615234,low_perf
790,../VALSE_data/images/v7w/v7w_2359029.jpg,There are no animals.,There are animals.,existence,18.286327362060547,18.597312927246094,-0.3109855651855469,low_perf
1011,../VALSE_data/images/v7w/v7w_2367703.jpg,There is a motorcycle.,There is no motorcycle.,existence,23.673030853271484,24.01051139831543,-0.3374805450439453,low_perf
673,../VALSE_data/images/v7w/v7w_2406996.jpg,There are no people in the picture.,There are people in the picture.,existence,16.659927368164062,16.67388153076172,-0.01395416259765625,low_perf
797,../VALSE_data/images/v7w/v7w_2362476.jpg,There are eagles visible.,There are no eagles visible.,existence,24.242958068847656,24.387296676635742,-0.14433860778808594,low_perf
547,../VALSE_data/images/v7w/v7w_2374842.jpg,There are no birds in the photo.,There are birds in the photo.,existence,25.98548698425293,26.53180503845215,-0.5463180541992188,low_perf
662,../VALSE_data/images/v7w/v7w_2403284.jpg,There are no people pictured.,There are people pictured.,existence,18.866092681884766,19.609882354736328,-0.7437896728515625,low_perf
625,../VALSE_data/images/v7w/v7w_2390850.jpg,There are no people in the water.,There are people in the water.,existence,20.003116607666016,19.163747787475586,0.8393688201904297,medium_perf
