,index,img_path,caption,foil,linguistic_phenomena,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group,Approval,Notes
0,1196,../VALSE_data/images/swig/speaking_84.jpg,A baby speaks on a telephone.,A baby sits on a telephone.,actions,28.02443504333496,28.10685920715332,-0.08242416381835938,low_perf,Approve,
1,1974,../VALSE_data/images/swig/kicking_154.jpg,A soccer player kicks a soccer ball.,A soccer ball kicks a soccer player.,actions,25.842212677001953,26.00271224975586,-0.16049957275390625,low_perf,Reject,Impossible foil
2,1635,../VALSE_data/images/swig/juggling_131.jpg,A ballplayer juggles a baseball.,A ballplayer disciplines a baseball.,actions,28.437280654907227,28.478925704956055,-0.041645050048828125,low_perf,Unsure,Implausible foil
3,1684,../VALSE_data/images/swig/pulling_192.jpg,A truck pulls a boat.,A truck punts a boat.,actions,26.245920181274414,28.0289249420166,-1.7830047607421875,low_perf,Unsure,Implausible foil
4,1042,../VALSE_data/images/swig/displaying_251.jpg,A man displays a certificate.,A man carries a certificate.,actions,27.329450607299805,28.54937171936035,-1.2199211120605469,low_perf,Unsure,Both are correct
5,1461,../VALSE_data/images/swig/ignoring_131.jpg,A woman ignores a female child.,A woman trains a female child.,actions,21.685972213745117,21.86963653564453,-0.18366432189941406,low_perf,Unsure,Neither appear correct
6,1613,../VALSE_data/images/swig/peeing_49.jpg,A male child pees a toilet.,A male child stitches a toilet.,actions,25.53607749938965,28.393577575683594,-2.8575000762939453,low_perf,Reject,Implausible foil
7,1604,../VALSE_data/images/swig/shopping_215.jpg,A woman shops at a grocery store.,A woman winks at a grocery store.,actions,28.24443817138672,28.06576156616211,0.17867660522460938,low_perf,Approve,
8,1489,../VALSE_data/images/swig/tripping_125.jpg,A man trips across a wire.,A man claws across a wire.,actions,27.444791793823242,27.190013885498047,0.2547779083251953,low_perf,Approve,
9,1961,../VALSE_data/images/swig/tripping_3.jpg,A person trips across a rug.,A rug trips over a person.,actions,31.17524528503418,31.609752655029297,-0.4345073699951172,low_perf,Unsure,Implausible foil
10,2232,../VALSE_data/images/swig/shushing_24.jpg,A man shushes people.,The people shush the man.,actions,22.17746925354004,24.964048385620117,-2.786579132080078,low_perf,Approve,
11,2368,../VALSE_data/images/swig/coaching_58.jpg,A man coaches a child.,A child coaches a man.,actions,30.96051788330078,31.125288009643555,-0.16477012634277344,low_perf,Approve,
12,1657,../VALSE_data/images/swig/igniting_258.jpg,A man ignites a cigarette.,A man wrinkles a cigarette.,actions,32.50581741333008,34.224327087402344,-1.7185096740722656,low_perf,Approve,
13,2153,../VALSE_data/images/swig/slipping_6.jpg,A man slips to the floor.,A floor slips under a man.,actions,28.05013656616211,29.178939819335938,-1.1288032531738281,low_perf,Unsure,Implausible foil
14,2535,../VALSE_data/images/swig/frisking_20.jpg,A policeman frisks a man.,A man frisks a policeman.,actions,28.924657821655273,28.618431091308594,0.3062267303466797,low_perf,Approve,
