dataset,dataset_idx,image_file,linguistic_phenomena,caption,answer,classes,split,original_split,classes_foil,mturk,foil,challenge_set,foil_method,grammaticality_scores,nli_scores,key,declarative_statement,declarative_statement_foils,provenance_of_foils,foiling_method,orig_caption,only_caption,local_img_path
visual7w,2349294,v7w_2349294.jpg,counting,Cars are allowed to park for exactly 2 hours from 8 am to 6 pm.,2,2,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",Cars are allowed to park for exactly 1 hour from 8 am to 6 pm.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2349294.jpg
visual7w,2344761,v7w_2344761.jpg,counting,There are exactly 0 people in the photo.,0,0,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people in the photo.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2344761.jpg
visual7w,2382764,v7w_2382764.jpg,counting,There are exactly 3 of the bus' wheels visible.,3,3,test,test,2,"{'foil': 2, 'caption': 1, 'other': 0}",There are exactly 2 of the bus' wheels visible.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2382764.jpg
visual7w,2362253,v7w_2362253.jpg,counting,There is exactly 1 plane.,1,1,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 planes.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2362253.jpg
visual7w,2394354,v7w_2394354.jpg,counting,There are exactly 2 birds.,2,2,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 birds.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2394354.jpg
visual7w,2324167,v7w_2324167.jpg,counting,There are exactly 3 colors on the floor.,3,3,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 colors on the floor.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2324167.jpg
visual7w,2321230,v7w_2321230.jpg,counting,There are exactly 2 trains pictured.,2,2,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 train pictured.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2321230.jpg
visual7w,2339987,v7w_2339987.jpg,counting,There are exactly 0 animals in this picture.,0,0,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 animals in this picture.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2339987.jpg
visual7w,2406807,v7w_2406807.jpg,counting,There are exactly 2 chickens.,2,2,test,test,1,"{'foil': 0, 'caption': 1, 'other': 2}",There is exactly 1 chicken.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2406807.jpg
visual7w,2369481,v7w_2369481.jpg,counting,There are exactly 3 chairs.,3,3,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 chairs.,counting-small-quant.json,,,,,,,,,,,images/v7w/v7w_2369481.jpg
