,Selection,img_path,caption,foil,linguistic_phenomena,Approval,Notes,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group,"% can't tell (google form, existence only)","% can tell (google form, existence only)","% unsure (google form, existence only)",Caption edited,Foil edited
215,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2393355.jpg,There is at least one player shown.,There are no players shown.,existence,Approve,50%+ CAN'T answer blurred version on google forms,22.7634315490722,20.381607055664,2.3818244934082,high_perf,80.0,0.0,20.0,,
216,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2360434.jpg,There is at least one sign pictured.,There are no signs pictured.,existence,Approve,"40% can't answer based on blurrred image, 40% can tell, 20% unsure -> approval/rejection based on random sampling outcome taking 3 out of 7 candidates",26.993423461914,25.0593929290771,1.93403053283691,high_perf,40.0,40.0,20.0,,
217,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2407816.jpg,There is at least one power line.,There are no power lines.,existence,Approve,50%+ CAN'T answer blurred version on google forms,23.4853591918945,21.576265335083,1.90909385681152,high_perf,60.0,20.0,20.0,,
218,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2402139.jpg,There are no clouds in the sky.,There is at least one cloud in the sky.,existence,Approve,50%+ CAN'T answer blurred version on google forms,19.2832298278808,17.3995094299316,1.88372039794921,high_perf,80.0,20.0,0.0,,
220,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2367084.jpg,There is a giraffe.,There is no giraffe.,existence,Approve,50%+ CAN'T answer blurred version on google forms,25.5071239471435,23.7771263122558,1.72999763488769,high_perf,60.0,20.0,20.0,,
221,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2361437.jpg,There is at least one cow shown.,There are no cows shown.,existence,Approve,50%+ CAN'T answer blurred version on google forms,27.7345466613769,26.1534404754638,1.58110618591308,high_perf,60.0,20.0,20.0,,
222,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2417412.jpg,There is at least one color on the bird.,There are no colors on the bird.,existence,Approve,50%+ CAN'T answer blurred version on google forms,26.830451965332,25.2950687408447,1.5353832244873,high_perf,60.0,40.0,0.0,,
224,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2331050.jpg,There are no people pictured here.,There is at least one person pictured here.,existence,Approve,50%+ CAN'T answer blurred version on google forms,20.0201416015625,18.6233921051025,1.39674949645996,high_perf,60.0,40.0,0.0,,
227,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2416322.jpg,There is at least one person wearing glasses.,There are no people wearing glasses.,existence,Approve,50%+ CAN'T answer blurred version on google forms,18.5971775054931,17.5716552734375,1.02552223205566,high_perf,100.0,0.0,0.0,,
229,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2345325.jpg,There is at least one surfer in the pic.,There are no surfers in the pic.,existence,Approve,50%+ CAN'T answer blurred version on google forms,29.1174430847167,28.2767467498779,0.840696334838867,medium_perf,80.0,20.0,0.0,,
230,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2390850.jpg,There are no people in the water.,There is at least one person in the water.,existence,Approve,50%+ CAN'T answer blurred version on google forms,20.003116607666,19.1637477874755,0.839368820190429,medium_perf,100.0,0.0,0.0,,
232,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2373121.jpg,There are no clouds in the sky.,There is at least one cloud in the sky.,existence,Approve,50%+ CAN'T answer blurred version on google forms,16.902000427246,16.1173954010009,0.784605026245117,medium_perf,60.0,20.0,20.0,,
233,"Existence set (Jan 16, validated thru Google Form survey)",../VALSE_data/images/v7w/v7w_2342550.jpg,There are no people.,There is at least one person.,existence,Approve,50%+ CAN'T answer blurred version on google forms,22.0143909454345,21.2835121154785,0.730878829956054,medium_perf,80.0,0.0,20.0,,
