,index,img_path,caption,foil,linguistic_phenomena,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group,Approval,Notes
0,468.0,../VALSE_data/images/coco2017/000000122672.jpg,A man is riding a surfboard through a wave.,A man is riding a surfboard against a wave.,relations,31.702688217163086,32.11118698120117,-0.40849876403808594,low_perf,Reject,"""Against a wave"" is not clearly distinct from ""through a wave"""
1,274.0,../VALSE_data/images/coco2017/000000427649.jpg,The boat sits in the lake below the mountain.,The boat sits in the lake on the mountain.,relations,27.193933486938477,27.211042404174805,-0.017108917236328125,low_perf,Approve,
2,243.0,../VALSE_data/images/coco2017/000000451150.jpg,Half a dozen donuts are sitting in a box.,Half a dozen donuts are sitting near a box.,relations,30.12873077392578,30.556663513183594,-0.4279327392578125,low_perf,Approve,
3,376.0,../VALSE_data/images/coco2017/000000546659.jpg,A locomotive train carrying carts down a track.,A locomotive train carrying carts up a track.,relations,29.779468536376953,29.801532745361328,-0.022064208984375,low_perf,Reject,"""down a track"" vs ""up the track"" ambiguous when the track is flat."
4,520.0,../VALSE_data/images/coco2017/000000229858.jpg,An adult and baby moose step out of a busy thicket in the wild.,An adult and baby moose step inside of a busy thicket in the wild.,relations,32.17568588256836,33.4727783203125,-1.2970924377441406,low_perf,Approve,
5,124.0,../VALSE_data/images/coco2017/000000052996.jpg,Two woman soldiers talking to other women in a kitchen,Two woman soldiers talking to other women outside a kitchen,relations,31.700544357299805,32.0568733215332,-0.35632896423339844,low_perf,Approve,
6,261.0,../VALSE_data/images/coco2017/000000568213.jpg,The player tries to block the other player from throwing a Frisbee.,The player tries to block the other player into throwing a frisbee.,relations,34.97843551635742,35.02196502685547,-0.043529510498046875,low_perf,Reject,"""Block the other player into throwing a frisbee"" does not make sense semantically"
7,503.0,../VALSE_data/images/coco2017/000000001584.jpg,"The red, double decker bus is driving past other buses.","The red, double decker bus is driving towards other buses.",relations,30.269649505615234,30.401029586791992,-0.1313800811767578,low_perf,Approve,
8,433.0,../VALSE_data/images/coco2017/000000378673.jpg,A man riding a skateboard down the side of a ramp.,A man riding a skateboard up the side of a ramp.,relations,28.398229598999023,28.67049217224121,-0.2722625732421875,low_perf,Reject,"Not clear enough from the photo whether the man is going ""up"" or ""down"" a ramp"
9,285.0,../VALSE_data/images/coco2017/000000356498.jpg,A pancake with vegetables piled up on it,A pancake with vegetables piled down on it,relations,29.26346206665039,29.4299259185791,-0.16646385192871094,low_perf,Reject,"""Vegetables piled down on it"" does not make sense semantically"
